AKP	PAKP	Anaktuvuk Pass Airport	Anaktuvuk Pass	68.133598	-151.742996
AKR	DNAK	Akure Airport	Akure	7.246739864349365	5.3010101318359375
AKS	AGGA	Gwaunaru'u Airport	Auki	-8.70257	160.682007
AKU	ZWAK	Aksu Hongqipo Airport	Aksu (Onsu)	41.262501	80.291702
AKV	CYKO	Akulivik Airport	Akulivik	60.8186	-78.148598
AKX	UATT	Aktobe International Airport	Aktobe	50.248116	57.204144
AKY	VYSW	Sittwe Airport	Sittwe	20.133165	92.870693
ALA	UAAA	Almaty International Airport	Almaty	43.354267	77.042828
ALB	KALB	Albany International Airport	Albany	42.748299	-73.801697
ALC	LEAL	Alicante-Elche Miguel Hernández Airport	Alicante	38.2822	-0.558156
ALF	ENAT	Alta Airport	Alta	69.976097	23.3717
ALG	DAAG	Houari Boumediene Airport	Algiers	36.693886	3.214531
ALH	YABA	Albany Airport	Albany	-34.943333	117.808889
ALO	KALO	Waterloo Regional Airport	Waterloo	42.557098388671875	-92.40029907226562
ALP	OSAP	Aleppo International Airport	Aleppo	36.181262	37.226869
ALS	KALS	San Luis Valley Regional Airport/Bergman Field	Alamosa	37.434898	-105.866997
ALW	KALW	Walla Walla Regional Airport	Walla Walla	46.09489822	-118.288002
ALZ		Alitak Seaplane Base	Lazy Bay	56.897294	-154.249692
AMA	KAMA	Rick Husband Amarillo International Airport	Amarillo	35.217857	-101.706444
AMD	VAAH	Sardar Vallabh Patel International Airport	Ahmedabad	23.0772	72.634697
AMH	HAAM	Arba Minch Airport	Arba Minch	6.03939	37.5905
AMM	OJAI	Queen Alia International Airport	Amman	31.7226009369	35.9931983948
AMQ	WAPP	Pattimura International Airport	Ambon	-3.71026	128.089005
AMS	EHAM	Amsterdam Airport Schiphol	Amsterdam	52.308601	4.76389
AMV	ULDD	Amderma Airport	Amderma	69.76329803466797	61.556400299072266
ANC	PANC	Ted Stevens Anchorage International Airport	Anchorage	61.179004	-149.992561
ANF	SCFA	Andrés Sabella Gálvez International Airport	Antofagasta	-23.445274	-70.445232
ANI	PANI	Aniak Airport	Aniak	61.581600189208984	-159.54299926757812
ANR	EBAW	Antwerp International Airport (Deurne)	Antwerp	51.190667	4.463153
ANS	SPHY	Andahuaylas Airport	Andahuaylas	-13.706399917602539	-73.35040283203125
ANU	TAPA	V. C. Bird International Airport	Osbourn	17.1367	-61.792702
ANV	PANV	Anvik Airport	Anvik	62.646702	-160.190994
ANX	ENAN	Andøya Airport, Andenes	Andenes	69.295193	16.139379
AOE	LTBY	Hasan Polatkan Airport	Eskişehir	39.811644	30.519268
AOG	ZYAS	Anshan Teng'ao Airport / Anshan Air Base	Anshan	41.105301	122.853996
AOI	LIPY	Marche Airport	Falconara Marittima (AN)	43.616299	13.3623
AOJ	RJSA	Aomori Airport	Aomori	40.733777	140.689477
AOK	LGKP	Karpathos Airport	Karpathos Island	35.421398	27.146
AOO	KAOO	Altoona Blair County Airport	Altoona	40.296398	-78.32
AOQ		Aappilattoq Heliport	Aappilattoq	72.88703	-55.596287
AOR	WMKA	Sultan Abdul Halim Airport	Alor Satar	6.189670085906982	100.39800262451172
AOS		Amook Bay Seaplane Base	Amook Bay	57.4715003967	-153.815002441
APK	NTGD	Apataki Airport	Apataki	-15.5736	-146.414993
APL	FQNP	Nampula Airport	Nampula	-15.1056	39.281799
APN	KAPN	Alpena County Regional Airport	Alpena	45.0780983	-83.56030273
APO	SKLC	Antonio Roldán Betancur Airport	Carepa	7.81196	-76.7164
APW	NSFA	Faleolo International Airport	Apia	-13.83	-172.007996
AQA	SBAQ	Araraquara Airport	Araraquara	-21.812	-48.132999
AQG	ZSAQ	Anqing Tianzhushan Airport / Anqing North Air Base	Anqing	30.582199	117.050003
AQI	OEPA	Qaisumah–Hafar Al-Batin International Airport	Qaisumah	28.335726	46.127108
AQJ	OJAQ	King Hussein International Airport	Aqaba	29.611601	35.018101
AQP	SPQU	Rodríguez Ballón International Airport	Arequipa	-16.340786	-71.569485
ARC	PARC	Arctic Village Airport	Arctic Village	68.1147	-145.578995
ARD	WATM	Alor Island - Mali Airport	Kabola	-8.13234	124.597
ARH	ULAA	Talagi Airport	Archangelsk	64.60030364990234	40.71670150756836
ARI	SCAR	Chacalluta International Airport	Arica	-18.348499	-70.338699
ARK	HTAR	Arusha Airport	Arusha	-3.3677899837493896	36.63330078125
ARM	YARM	Armidale Airport	Armidale	-30.528099060099997	151.617004395
ARN	ESSA	Stockholm-Arlanda Airport	Stockholm	59.64849	17.928829
ART	KART	Watertown International Airport	Watertown	43.991901	-76.021698
ARU	SBAU	Araçatuba Airport	Araçatuba	-21.141479	-50.424575
ARW	LRAR	Arad International Airport	Arad	46.176136	21.264322
ASB	UTAA	Ashgabat International Airport	Ashgabat	37.986801	58.361
ASD	MYAF	Andros Town Airport	Andros Town	24.697901	-77.795601
ASE	KASE	Aspen-Pitkin County Airport (Sardy Field)	Aspen	39.223202	-106.869003
ASF	URWA	Astrakhan Narimanovo Boris M. Kustodiev International Airport	Astrakhan	46.282843	48.010511
ASI	FHAW	RAF Ascension Island	Cat Hill	-7.970179	-14.392744
ASJ	RJKA	Amami Airport	Amami	28.430599212646484	129.71299743652344
ASM	HHAS	Asmara International Airport	Asmara	15.2919	38.910702
ASO	HASO	Asosa Airport	Asosa	10.018500328063965	34.586299896240234
ASP	YBAS	Alice Springs Airport	Alice Springs	-23.806588	133.903427
ASR	LTAU	Kayseri Erkilet International Airport	Kayseri	38.770401	35.495399
ASU	SGAS	Silvio Pettirossi International Airport	Asunción	-25.240156	-57.519227
ASV	HKAM	Amboseli Airport	Ol Tukai	-2.644786	37.252922
ASW	HESN	Aswan International Airport	Aswan	23.961075	32.820382
ATC	MYCA	Arthur's Town Airport	Arthur's Town	24.6294	-75.673797
ATH	LGAV	Athens Eleftherios Venizelos International Airport	Spata-Artemida	37.936401	23.9445
ATK	PATQ	Atqasuk Edward Burnell Sr Memorial Airport	Atqasuk	70.46704	-157.436013
ATL	KATL	Hartsfield Jackson Atlanta International Airport	Atlanta	33.6367	-84.428101
ATM	SBHT	Altamira Interstate Airport	Altamira	-3.253144	-52.253938
ATQ	VIAR	Sri Guru Ram Das Ji International Airport	Amritsar	31.7096	74.797302
ATT		Atmautluak Airport	Atmautluak	60.866699	-162.272996
ATW	KATW	Appleton International Airport	Appleton	44.258515	-88.519
ATY	KATY	Watertown Regional Airport	Watertown	44.91400146	-97.15470123
ATZ	HEAT	Asyut International Airport	Asyut	27.045962	31.01276
AUA	TNCA	Queen Beatrix International Airport	Oranjestad	12.501056	-70.014281
AUC	SKUC	Santiago Perez Airport	Arauca	7.06888	-70.7369
AUG	KAUG	Augusta State Airport	Augusta	44.320598602299995	-69.7973022461
AUH	OMAA	Zayed International Airport	Abu Dhabi	24.440966	54.649237
AUK		Alakanuk Airport	Alakanuk	62.682653	-164.722481
AUL		Aur Island Airport	Aur Atoll	8.14528	171.173004
AUQ	NTMN	Hiva Oa-Atuona Airport	Hiva Oa Island	-9.76879024506	-139.011001587
AUR	LFLW	Aurillac airport	Aurillac	44.891399	2.42194
AUS	KAUS	Austin Bergstrom International Airport	Austin	30.197535	-97.662015
AUU	YAUR	Aurukun Airport	Aurukun	-13.354019	141.720028
AUX	SWGN	Araguaína Airport	Araguaína	-7.22787	-48.240501
AVA	ZUAS	Anshun Huangguoshu Airport	Anshun (Xixiu)	26.260556	105.873333
AVK	ZMAH	Arvaikheer Airport	Arvaikheer	46.250301361083984	102.802001953125
AVL	KAVL	Asheville Regional Airport	Asheville	35.435488	-82.541853
AVN	LFMV	Avignon Caumont airport	Avignon	43.907299	4.90183
AVP	KAVP	Wilkes-Barre/Scranton International Airport	Wilkes-Barre/Scranton	41.337064	-75.724232
AVV	YMAV	Melbourne Avalon International Airport	Geelong/Melbourne	-38.040269	144.467196
AWA	HALA	Hawassa International Airport	Hawassa	7.100611	38.396455
AWK	PWAK	Wake Island Airfield	Wake Island	19.282437	166.636637
AWZ	OIAW	Qasem Soleimani International Airport	Ahvaz	31.3364	48.763789
AXA	TQPF	Clayton J. Lloyd International Airport	The Valley	18.204773	-63.05383
AXD	LGAL	Alexandroupoli Democritus Airport	Alexandroupolis	40.8559	25.956301
AXF	ZBAL	Alxa Left Banner Bayanhot Airport	Bayanhot	38.748317	105.58416
AXJ	RJDA	Amakusa Airport	Amakusa	32.482498	130.158997
AXM	SKAR	El Eden Airport	Armenia	4.45278	-75.7664
AXP	MYAP	Spring Point Airport	Spring Point	22.441799	-73.970901
AXR	NTGU	Arutua Airport		-15.248299598693848	-146.61700439453125
